message;severity;node;stamp;topics;location
"ODOM PUBLISH";"2";"/base_node";"1751108157.302131882";"/odom_raw,/rosout,/tf";"/root/transbot_ws/src/transbot_bringup/src/base.cpp:velCallback:78"
"ODOM PUBLISH";"2";"/base_node";"1751108157.250900448";"/odom_raw,/rosout,/tf";"/root/transbot_ws/src/transbot_bringup/src/base.cpp:velCallback:78"
"ODOM PUBLISH";"2";"/base_node";"1751108157.200840535";"/odom_raw,/rosout,/tf";"/root/transbot_ws/src/transbot_bringup/src/base.cpp:velCallback:78"
"ODOM PUBLISH";"2";"/base_node";"1751108157.150208593";"/odom_raw,/rosout,/tf";"/root/transbot_ws/src/transbot_bringup/src/base.cpp:velCallback:78"
"ODOM PUBLISH";"2";"/base_node";"1751108157.100262846";"/odom_raw,/rosout,/tf";"/root/transbot_ws/src/transbot_bringup/src/base.cpp:velCallback:78"
"ODOM PUBLISH";"2";"/base_node";"1751108157.048674491";"/odom_raw,/rosout,/tf";"/root/transbot_ws/src/transbot_bringup/src/base.cpp:velCallback:78"
"ODOM PUBLISH";"2";"/base_node";"1751108156.997418002";"/odom_raw,/rosout,/tf";"/root/transbot_ws/src/transbot_bringup/src/base.cpp:velCallback:78"
"ODOM PUBLISH";"2";"/base_node";"1751108156.947005856";"/odom_raw,/rosout,/tf";"/root/transbot_ws/src/transbot_bringup/src/base.cpp:velCallback:78"
"ODOM PUBLISH";"2";"/base_node";"1751108156.896010236";"/odom_raw,/rosout,/tf";"/root/transbot_ws/src/transbot_bringup/src/base.cpp:velCallback:78"
"ODOM PUBLISH";"2";"/base_node";"1751108156.846806758";"/odom_raw,/rosout,/tf";"/root/transbot_ws/src/transbot_bringup/src/base.cpp:velCallback:78"
"ODOM PUBLISH";"2";"/base_node";"1751108156.794759875";"/odom_raw,/rosout,/tf";"/root/transbot_ws/src/transbot_bringup/src/base.cpp:velCallback:78"
"ODOM PUBLISH";"2";"/base_node";"1751108156.744293192";"/odom_raw,/rosout,/tf";"/root/transbot_ws/src/transbot_bringup/src/base.cpp:velCallback:78"
"ODOM PUBLISH";"2";"/base_node";"1751108156.693857750";"/odom_raw,/rosout,/tf";"/root/transbot_ws/src/transbot_bringup/src/base.cpp:velCallback:78"
"ODOM PUBLISH";"2";"/base_node";"1751108156.643421863";"/odom_raw,/rosout,/tf";"/root/transbot_ws/src/transbot_bringup/src/base.cpp:velCallback:78"
"ODOM PUBLISH";"2";"/base_node";"1751108156.593173122";"/odom_raw,/rosout,/tf";"/root/transbot_ws/src/transbot_bringup/src/base.cpp:velCallback:78"
"ODOM PUBLISH";"2";"/base_node";"1751108156.542429517";"/odom_raw,/rosout,/tf";"/root/transbot_ws/src/transbot_bringup/src/base.cpp:velCallback:78"
"ODOM PUBLISH";"2";"/base_node";"1751108156.492524289";"/odom_raw,/rosout,/tf";"/root/transbot_ws/src/transbot_bringup/src/base.cpp:velCallback:78"
"ODOM PUBLISH";"2";"/base_node";"1751108156.441492374";"/odom_raw,/rosout,/tf";"/root/transbot_ws/src/transbot_bringup/src/base.cpp:velCallback:78"
"ODOM PUBLISH";"2";"/base_node";"1751108156.390804287";"/odom_raw,/rosout,/tf";"/root/transbot_ws/src/transbot_bringup/src/base.cpp:velCallback:78"
"ODOM PUBLISH";"2";"/base_node";"1751108156.340689136";"/odom_raw,/rosout,/tf";"/root/transbot_ws/src/transbot_bringup/src/base.cpp:velCallback:78"
"ODOM PUBLISH";"2";"/base_node";"1751108156.290004234";"/odom_raw,/rosout,/tf";"/root/transbot_ws/src/transbot_bringup/src/base.cpp:velCallback:78"
"ODOM PUBLISH";"2";"/base_node";"1751108156.240131266";"/odom_raw,/rosout,/tf";"/root/transbot_ws/src/transbot_bringup/src/base.cpp:velCallback:78"
"ODOM PUBLISH";"2";"/base_node";"1751108156.189378050";"/odom_raw,/rosout,/tf";"/root/transbot_ws/src/transbot_bringup/src/base.cpp:velCallback:78"
